base_currency,target_currency,rate,rate_date
USD,AUD,1.47,2023-01-02
USD,AUD,1.4863,2023-01-03
USD,AUD,1.4625,2023-01-04
USD,AUD,1.4812,2023-01-05
USD,AUD,1.4543,2023-01-06
USD,AUD,1.4468,2023-01-09
USD,AUD,1.4518,2023-01-10
USD,AUD,1.4491,2023-01-11
USD,AUD,1.4351,2023-01-12
USD,AUD,1.4333,2023-01-13
USD,AUD,1.438,2023-01-16
USD,AUD,1.431,2023-01-17
USD,AUD,1.4405,2023-01-18
USD,AUD,1.4472,2023-01-19
USD,AUD,1.4353,2023-01-20
USD,AUD,1.4229,2023-01-23
USD,AUD,1.419,2023-01-24
USD,AUD,1.4077,2023-01-25
USD,AUD,1.4055,2023-01-26
USD,AUD,1.4077,2023-01-27
USD,AUD,1.4164,2023-01-30
USD,AUD,1.4173,2023-01-31
USD,AUD,1.4013,2023-02-01
USD,AUD,1.413,2023-02-02
USD,AUD,1.4447,2023-02-03
USD,AUD,1.4531,2023-02-06
USD,AUD,1.437,2023-02-07
USD,AUD,1.4442,2023-02-08
USD,AUD,1.4418,2023-02-09
USD,AUD,1.4455,2023-02-10
USD,AUD,1.4356,2023-02-13
USD,AUD,1.4314,2023-02-14
USD,AUD,1.4485,2023-02-15
USD,AUD,1.4538,2023-02-16
USD,AUD,1.4535,2023-02-17
USD,AUD,1.4478,2023-02-20
USD,AUD,1.459,2023-02-21
USD,AUD,1.4697,2023-02-22
USD,AUD,1.4689,2023-02-23
USD,AUD,1.4868,2023-02-24
USD,AUD,1.4848,2023-02-27
USD,AUD,1.4861,2023-02-28
USD,AUD,1.4791,2023-03-01
USD,AUD,1.4859,2023-03-02
USD,AUD,1.4773,2023-03-03
USD,AUD,1.4863,2023-03-06
USD,AUD,1.5191,2023-03-07
USD,AUD,1.5181,2023-03-08
USD,AUD,1.5175,2023-03-09
USD,AUD,1.5203,2023-03-10
USD,AUD,1.5002,2023-03-13
USD,AUD,1.4968,2023-03-14
USD,AUD,1.5115,2023-03-15
USD,AUD,1.5023,2023-03-16
USD,AUD,1.4935,2023-03-17
USD,AUD,1.4883,2023-03-20
USD,AUD,1.4996,2023-03-21
USD,AUD,1.4961,2023-03-22
USD,AUD,1.4961,2023-03-23
USD,AUD,1.5047,2023-03-24
USD,AUD,1.5038,2023-03-27
USD,AUD,1.4904,2023-03-28
USD,AUD,1.4961,2023-03-29
USD,AUD,1.4903,2023-03-30
USD,AUD,1.4957,2023-03-31
USD,AUD,1.4736,2023-04-03
USD,AUD,1.481,2023-04-04
