symbol,price,timestamp
AGL,7.8398,2015-01-02
ALX,1.7832,2015-01-02
AMAT,21.7646,2015-01-02
AMD,2.69,2015-01-02
AMZN,15.426,2015-01-02
ANZ,19.851,2015-01-02
ASX,24.9646,2015-01-02
AUB,6.947,2015-01-02
AVGO,7.6673,2015-01-02
AX1,0.378,2015-01-02
AZJ,2.6019,2015-01-02
AZN,24.9367,2015-01-02
CBA,51.9617,2015-01-02
CCJ,14.6195,2015-01-02
CHC,2.9802,2015-01-02
CME,57.8289,2015-01-02
CSL,75.1549,2015-01-02
DXS,3.9416,2015-01-02
EQIX,175.0466,2015-01-02
FTNT,6.158,2015-01-02
GNE,0.9666,2015-01-02
GOOG,25.9739,2015-01-02
GOOGL,26.2789,2015-01-02
IAA,46.075,2015-01-02
IEU,38.6213,2015-01-02
IOO,38.7658,2015-01-02
IVV,14.2767,2015-01-02
IXI,40.858,2015-01-02
MA,79.9828,2015-01-02
MAQ,4.2843,2015-01-02
META,77.9058,2015-01-02
MSFT,39.8125,2015-01-02
NAB,17.3575,2015-01-02
NVDA,0.483,2015-01-02
NWH,0.2661,2015-01-02
RMD,6.1066,2015-01-02
SDF,1.113,2015-01-02
SHL,12.9428,2015-01-02
STW,31.5492,2015-01-02
TCL,5.3888,2015-01-02
TLS,3.6923,2015-01-02
TSM,17.0502,2015-01-02
VAP,41.2973,2015-01-02
VEU,40.7861,2015-01-02
WBC,18.2579,2015-01-02
WDS,19.586,2015-01-02
WES,16.4074,2015-01-02
AGL,7.9388,2015-01-05
ALX,1.772,2015-01-05
AMAT,21.067,2015-01-05
AMD,2.66,2015-01-05
AMZN,15.1095,2015-01-05
ANZ,19.814,2015-01-05
ASX,25.0936,2015-01-05
AUB,6.9197,2015-01-05
AVGO,7.5448,2015-01-05
AX1,0.392,2015-01-05
AZJ,2.6131,2015-01-05
AZN,24.7454,2015-01-05
CBA,52.089,2015-01-05
CCJ,14.1729,2015-01-05
CHC,3.0063,2015-01-05
CME,58.157,2015-01-05
CSL,75.4731,2015-01-05
DXS,3.9862,2015-01-05
EQIX,173.2471,2015-01-05
FTNT,6.104,2015-01-05
GNE,0.9666,2015-01-05
GOOG,25.4325,2015-01-05
GOOGL,25.7782,2015-01-05
IAA,46.0592,2015-01-05
IEU,38.5109,2015-01-05
IOO,38.7205,2015-01-05
IVV,14.3034,2015-01-05
IXI,40.7253,2015-01-05
MA,77.733,2015-01-05
MAQ,4.4064,2015-01-05
META,76.6545,2015-01-05
MSFT,39.4421,2015-01-05
NAB,17.3834,2015-01-05
NVDA,0.4748,2015-01-05
NWH,0.2625,2015-01-05
RMD,6.2564,2015-01-05
SDF,1.113,2015-01-05
SHL,12.9705,2015-01-05
STW,31.7057,2015-01-05
TCL,5.4261,2015-01-05
TLS,3.6985,2015-01-05
TSM,16.637,2015-01-05
VAP,41.5595,2015-01-05
VEU,40.7861,2015-01-05
WBC,18.1975,2015-01-05
WDS,19.6887,2015-01-05
WES,16.3917,2015-01-05
AGL,7.834,2015-01-06
ALX,1.7385,2015-01-06
AMAT,20.2735,2015-01-06
AMD,2.63,2015-01-06
AMZN,14.7645,2015-01-06
ANZ,19.5738,2015-01-06
ASX,24.7202,2015-01-06
AUB,6.8173,2015-01-06
AVGO,7.3732,2015-01-06
AX1,0.3892,2015-01-06
AZJ,2.5572,2015-01-06
AZN,24.1432,2015-01-06
CBA,51.6951,2015-01-06
CCJ,14.1372,2015-01-06
CHC,2.9411,2015-01-06
CME,57.2679,2015-01-06
CSL,74.0797,2015-01-06
DXS,3.9639,2015-01-06
EQIX,169.4704,2015-01-06
FTNT,5.99,2015-01-06
GNE,0.9666,2015-01-06
GOOG,24.843,2015-01-06
GOOGL,25.142,2015-01-06
IAA,44.7611,2015-01-06
IEU,37.3399,2015-01-06
IOO,37.7738,2015-01-06
IVV,13.9613,2015-01-06
IXI,39.9513,2015-01-06
MA,77.565,2015-01-06
MAQ,4.4064,2015-01-06
META,75.6218,2015-01-06
MSFT,38.8674,2015-01-06
NAB,17.2437,2015-01-06
NVDA,0.4604,2015-01-06
NWH,0.2589,2015-01-06
RMD,6.1507,2015-01-06
SDF,1.0845,2015-01-06
SHL,12.8249,2015-01-06
STW,31.1549,2015-01-06
TCL,5.4384,2015-01-06
TLS,3.6738,2015-01-06
TSM,16.3462,2015-01-06
VAP,41.2318,2015-01-06
VEU,39.6097,2015-01-06
WBC,18.0383,2015-01-06
WDS,18.7282,2015-01-06
WES,16.3252,2015-01-06
AGL,7.8631,2015-01-07
ALX,1.7497,2015-01-07
AMAT,20.461,2015-01-07
AMD,2.58,2015-01-07
AMZN,14.921,2015-01-07
ANZ,19.5369,2015-01-07
ASX,24.7473,2015-01-07
AUB,6.8242,2015-01-07
AVGO,7.5724,2015-01-07
AX1,0.3892,2015-01-07
AZJ,2.5461,2015-01-07
AZN,24.1184,2015-01-07
CBA,51.5799,2015-01-07
CCJ,14.0122,2015-01-07
CHC,2.9607,2015-01-07
CME,57.9339,2015-01-07
CSL,74.183,2015-01-07
DXS,4.0253,2015-01-07
EQIX,170.0265,2015-01-07
FTNT,6.076,2015-01-07
GNE,0.9666,2015-01-07
GOOG,24.8004,2015-01-07
GOOGL,25.0681,2015-01-07
IAA,45.5289,2015-01-07
IEU,37.1484,2015-01-07
IOO,37.6668,2015-01-07
IVV,13.9608,2015-01-07
IXI,40.1466,2015-01-07
MA,78.7716,2015-01-07
MAQ,4.4064,2015-01-07
META,75.6218,2015-01-07
MSFT,39.3612,2015-01-07
NAB,17.2851,2015-01-07
NVDA,0.4591,2015-01-07
NWH,0.2589,2015-01-07
RMD,6.1419,2015-01-07
SDF,1.0632,2015-01-07
SHL,12.8526,2015-01-07
STW,31.0672,2015-01-07
TCL,5.3826,2015-01-07
TLS,3.6799,2015-01-07
TSM,16.5834,2015-01-07
VAP,41.7263,2015-01-07
VEU,39.5886,2015-01-07
WBC,17.9396,2015-01-07
WDS,18.5638,2015-01-07
WES,16.2195,2015-01-07
AGL,7.898,2015-01-08
ALX,1.7665,2015-01-08
AMAT,21.115,2015-01-08
AMD,2.61,2015-01-08
AMZN,15.023,2015-01-08
ANZ,19.6539,2015-01-08
ASX,24.9171,2015-01-08
AUB,6.8242,2015-01-08
AVGO,7.9508,2015-01-08
AX1,0.4032,2015-01-08
AZJ,2.574,2015-01-08
AZN,24.4655,2015-01-08
CBA,51.7496,2015-01-08
CCJ,14.3247,2015-01-08
CHC,2.9933,2015-01-08
CME,58.2029,2015-01-08
CSL,73.8475,2015-01-08
DXS,4.0532,2015-01-08
EQIX,172.0577,2015-01-08
FTNT,6.242,2015-01-08
GNE,0.9436,2015-01-08
GOOG,24.8786,2015-01-08
GOOGL,25.1554,2015-01-08
IAA,46.0513,2015-01-08
IEU,37.3767,2015-01-08
IOO,37.9508,2015-01-08
IVV,14.1176,2015-01-08
IXI,40.6258,2015-01-08
MA,79.9968,2015-01-08
MAQ,4.4064,2015-01-08
META,77.6327,2015-01-08
MSFT,40.5192,2015-01-08
